"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","fbclid","min_width","min_height","inner_width","inner_height","stimulus","response","sequence","sequence_length","tile_duration","backwards","responses","score_an","score_pc","score_ls","event_history","success","timeout","failed_images","failed_audio","failed_video","task","correct_response","correct","fixation_time"
"[{""page_index"":0,""viewing_time"":1458}]","1458","instructions","0","1465","0.0-0.0","3","1","2024-03-18 04:52:12","c33429291dc7a384f95165972fddd116","128.12.122.24","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0","","Firefox","123.0","Windows","10.0","https://l.facebook.com/","en-US,en;q=0.5","IwAR0CRFrU8HfhHl5FhHk_2wqJwZKP5fdberTT2fqdS2NQiCQZhIYD1chETlg","","","","","","","","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1227},{""page_index"":1,""viewing_time"":5371},{""page_index"":2,""viewing_time"":3701}]","10299","instructions","1","11771","0.0-1.0","3","1","2024-03-18 04:52:12","c33429291dc7a384f95165972fddd116","128.12.122.24","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0","","Firefox","123.0","Windows","10.0","https://l.facebook.com/","en-US,en;q=0.5","IwAR0CRFrU8HfhHl5FhHk_2wqJwZKP5fdberTT2fqdS2NQiCQZhIYD1chETlg","","","","","","","","","","","","","","","","","","","","","","","",""
"","","screen-check","2","11773","0.0-2.0-0.0","3","1","2024-03-18 04:52:12","c33429291dc7a384f95165972fddd116","128.12.122.24","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0","","Firefox","123.0","Windows","10.0","https://l.facebook.com/","en-US,en;q=0.5","IwAR0CRFrU8HfhHl5FhHk_2wqJwZKP5fdberTT2fqdS2NQiCQZhIYD1chETlg","258","364","1280","559","","","","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","3","12282","0.0-2.0-1.0","3","1","2024-03-18 04:52:12","c33429291dc7a384f95165972fddd116","128.12.122.24","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0","","Firefox","123.0","Windows","10.0","https://l.facebook.com/","en-US,en;q=0.5","IwAR0CRFrU8HfhHl5FhHk_2wqJwZKP5fdberTT2fqdS2NQiCQZhIYD1chETlg","","","","","<p style=""font-size: 48px;"">+</p>","null","","","","","","","","","","","","","","","","","",""
"","5338","spatial-recall","4","21937","0.0-2.0-2.0","3","1","2024-03-18 04:52:12","c33429291dc7a384f95165972fddd116","128.12.122.24","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0","","Firefox","123.0","Windows","10.0","https://l.facebook.com/","en-US,en;q=0.5","IwAR0CRFrU8HfhHl5FhHk_2wqJwZKP5fdberTT2fqdS2NQiCQZhIYD1chETlg","","","","","","","[6,14,9,4]","4","701","false","[6,14,9,4]","1","4","4","[{""button"":6,""time"":1468},{""button"":14,""time"":2404},{""button"":9,""time"":3381},{""button"":4,""time"":4209},{""button"":""submit"",""time"":5338}]","","","","","","","","",""
"","","screen-check","5","21941","0.0-2.0-0.1","3","1","2024-03-18 04:52:12","c33429291dc7a384f95165972fddd116","128.12.122.24","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0","","Firefox","123.0","Windows","10.0","https://l.facebook.com/","en-US,en;q=0.5","IwAR0CRFrU8HfhHl5FhHk_2wqJwZKP5fdberTT2fqdS2NQiCQZhIYD1chETlg","258","364","1280","559","","","","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","6","22448","0.0-2.0-1.1","3","1","2024-03-18 04:52:12","c33429291dc7a384f95165972fddd116","128.12.122.24","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0","","Firefox","123.0","Windows","10.0","https://l.facebook.com/","en-US,en;q=0.5","IwAR0CRFrU8HfhHl5FhHk_2wqJwZKP5fdberTT2fqdS2NQiCQZhIYD1chETlg","","","","","<p style=""font-size: 48px;"">+</p>","null","","","","","","","","","","","","","","","","","",""
"","4671","spatial-recall","7","31441","0.0-2.0-2.1","3","1","2024-03-18 04:52:12","c33429291dc7a384f95165972fddd116","128.12.122.24","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0","","Firefox","123.0","Windows","10.0","https://l.facebook.com/","en-US,en;q=0.5","IwAR0CRFrU8HfhHl5FhHk_2wqJwZKP5fdberTT2fqdS2NQiCQZhIYD1chETlg","","","","","","","[11,3,15,5]","4","702","false","[3,15,11,5]","0","1","3","[{""button"":3,""time"":917},{""button"":15,""time"":2013},{""button"":11,""time"":2805},{""button"":5,""time"":3704},{""button"":""submit"",""time"":4671}]","","","","","","","","",""
"","","screen-check","8","31444","0.0-2.0-0.2","3","1","2024-03-18 04:52:12","c33429291dc7a384f95165972fddd116","128.12.122.24","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0","","Firefox","123.0","Windows","10.0","https://l.facebook.com/","en-US,en;q=0.5","IwAR0CRFrU8HfhHl5FhHk_2wqJwZKP5fdberTT2fqdS2NQiCQZhIYD1chETlg","258","364","1280","559","","","","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","9","31951","0.0-2.0-1.2","3","1","2024-03-18 04:52:12","c33429291dc7a384f95165972fddd116","128.12.122.24","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0","","Firefox","123.0","Windows","10.0","https://l.facebook.com/","en-US,en;q=0.5","IwAR0CRFrU8HfhHl5FhHk_2wqJwZKP5fdberTT2fqdS2NQiCQZhIYD1chETlg","","","","","<p style=""font-size: 48px;"">+</p>","null","","","","","","","","","","","","","","","","","",""
"","5493","spatial-recall","10","41943","0.0-2.0-2.2","3","1","2024-03-18 04:52:12","c33429291dc7a384f95165972fddd116","128.12.122.24","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0","","Firefox","123.0","Windows","10.0","https://l.facebook.com/","en-US,en;q=0.5","IwAR0CRFrU8HfhHl5FhHk_2wqJwZKP5fdberTT2fqdS2NQiCQZhIYD1chETlg","","","","","","","[3,15,1,8]","4","747","false","[3,15,1,8]","1","4","4","[{""button"":3,""time"":1615},{""button"":15,""time"":2622},{""button"":1,""time"":3541},{""button"":8,""time"":4478},{""button"":""submit"",""time"":5493}]","","","","","","","","",""
