"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","min_width","min_height","inner_width","inner_height","stimulus","response","sequence","sequence_length","tile_duration","backwards","responses","score_an","score_pc","score_ls","event_history","success","timeout","failed_images","failed_audio","failed_video","task","correct_response","correct","fixation_time"
"[{""page_index"":0,""viewing_time"":2612}]","2612","instructions","0","2613","0.0-0.0","1","1","2024-03-17 22:53:12","c33429291dc7a384f95165972fddd116","171.66.13.59","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36","Macintosh","Chrome","121.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","","","","","","","","","","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1398},{""page_index"":1,""viewing_time"":42735},{""page_index"":2,""viewing_time"":3540}]","47673","instructions","1","50286","0.0-1.0","1","1","2024-03-17 22:53:12","c33429291dc7a384f95165972fddd116","171.66.13.59","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36","Macintosh","Chrome","121.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","","","","","","","","","","","","","","","","","","","","","","","",""
"","","screen-check","2","50289","0.0-2.0-0.0","1","1","2024-03-17 22:53:12","c33429291dc7a384f95165972fddd116","171.66.13.59","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36","Macintosh","Chrome","121.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","258","364","1512","945","","","","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","3","50792","0.0-2.0-1.0","1","1","2024-03-17 22:53:12","c33429291dc7a384f95165972fddd116","171.66.13.59","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36","Macintosh","Chrome","121.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","","","","","<p style=""font-size: 48px;"">+</p>","null","","","","","","","","","","","","","","","","","",""
"","3437.100000023842","spatial-recall","4","58607","0.0-2.0-2.0","1","1","2024-03-17 22:53:12","c33429291dc7a384f95165972fddd116","171.66.13.59","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36","Macintosh","Chrome","121.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","","","","","","","[4,8,13,6]","4","717","false","[4,8,13,6]","1","4","4","[{""button"":4,""time"":943.7000000476837},{""button"":8,""time"":1355.6000000238419},{""button"":13,""time"":1962.7000000476837},{""button"":6,""time"":2621},{""button"":""submit"",""time"":3437.100000023842}]","","","","","","","","",""
"","","screen-check","5","58609","0.0-2.0-0.1","1","1","2024-03-17 22:53:12","c33429291dc7a384f95165972fddd116","171.66.13.59","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36","Macintosh","Chrome","121.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","258","364","1512","945","","","","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","6","59112","0.0-2.0-1.1","1","1","2024-03-17 22:53:12","c33429291dc7a384f95165972fddd116","171.66.13.59","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36","Macintosh","Chrome","121.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","","","","","<p style=""font-size: 48px;"">+</p>","null","","","","","","","","","","","","","","","","","",""
"","2949.2000000476837","spatial-recall","7","66422","0.0-2.0-2.1","1","1","2024-03-17 22:53:12","c33429291dc7a384f95165972fddd116","171.66.13.59","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36","Macintosh","Chrome","121.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","","","","","","","[10,13,14,11]","4","714","false","[10,13,14,11]","1","4","4","[{""button"":10,""time"":615.6000000238419},{""button"":13,""time"":1174.5},{""button"":14,""time"":1644.7000000476837},{""button"":11,""time"":2138.2000000476837},{""button"":""submit"",""time"":2949.2000000476837}]","","","","","","","","",""
"","","screen-check","8","66425","0.0-2.0-0.2","1","1","2024-03-17 22:53:12","c33429291dc7a384f95165972fddd116","171.66.13.59","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36","Macintosh","Chrome","121.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","258","364","1512","945","","","","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","9","66927","0.0-2.0-1.2","1","1","2024-03-17 22:53:12","c33429291dc7a384f95165972fddd116","171.66.13.59","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36","Macintosh","Chrome","121.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","","","","","<p style=""font-size: 48px;"">+</p>","null","","","","","","","","","","","","","","","","","",""
"","3024.600000023842","spatial-recall","10","74414","0.0-2.0-2.2","1","1","2024-03-17 22:53:12","c33429291dc7a384f95165972fddd116","171.66.13.59","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36","Macintosh","Chrome","121.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","","","","","","","[1,4,13,6]","4","739","false","[1,4,13,6]","1","4","4","[{""button"":1,""time"":853.8999999761581},{""button"":4,""time"":1324.5},{""button"":13,""time"":1898.6000000238419},{""button"":6,""time"":2376.2000000476837},{""button"":""submit"",""time"":3024.600000023842}]","","","","","","","","",""
"","","screen-check","11","74416","0.0-2.0-0.3","1","1","2024-03-17 22:53:12","c33429291dc7a384f95165972fddd116","171.66.13.59","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36","Macintosh","Chrome","121.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","258","364","1512","945","","","","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","12","74918","0.0-2.0-1.3","1","1","2024-03-17 22:53:12","c33429291dc7a384f95165972fddd116","171.66.13.59","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36","Macintosh","Chrome","121.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","","","","","<p style=""font-size: 48px;"">+</p>","null","","","","","","","","","","","","","","","","","",""
"","3303","spatial-recall","13","82699","0.0-2.0-2.3","1","1","2024-03-17 22:53:12","c33429291dc7a384f95165972fddd116","171.66.13.59","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36","Macintosh","Chrome","121.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","","","","","","","[4,10,6,11]","4","744","false","[4,10,6,11]","1","4","4","[{""button"":4,""time"":648.6000000238419},{""button"":10,""time"":1441.6000000238419},{""button"":6,""time"":2000.4000000953674},{""button"":11,""time"":2465.3000000715256},{""button"":""submit"",""time"":3303}]","","","","","","","","",""
