"","subj_id","game_type","num_timed_out","num_not_timed_out","num_NA","total_trials","prop_timed_out","flagged_time_outs","flagged_few_trials","flagged_has_nas"
"1",4,"digit_span",1,149,0,150,0.00666666666666667,FALSE,FALSE,FALSE
"2",4,"rest_task",53,29,0,82,0.646341463414634,FALSE,FALSE,FALSE
"3",4,"spatial_recall",1,149,0,150,0.00666666666666667,FALSE,FALSE,FALSE
"4",5,"digit_span",3,147,0,150,0.02,FALSE,FALSE,FALSE
"5",5,"rest_task",105,1,0,106,0.990566037735849,FALSE,FALSE,FALSE
"6",5,"spatial_recall",9,141,0,150,0.06,FALSE,FALSE,FALSE
"7",6,"digit_span",6,144,0,150,0.04,FALSE,FALSE,FALSE
"8",6,"rest_task",47,14,0,61,0.770491803278688,FALSE,FALSE,FALSE
"9",6,"spatial_recall",13,137,0,150,0.0866666666666667,FALSE,FALSE,FALSE
"10",8,"digit_span",11,139,0,150,0.0733333333333333,FALSE,FALSE,FALSE
"11",8,"rest_task",120,0,0,120,1,FALSE,FALSE,FALSE
"12",8,"spatial_recall",4,146,0,150,0.0266666666666667,FALSE,FALSE,FALSE
"13",10,"digit_span",13,137,0,150,0.0866666666666667,FALSE,FALSE,FALSE
"14",10,"rest_task",422,71,0,493,0.855983772819473,FALSE,FALSE,FALSE
"15",10,"spatial_recall",15,135,0,150,0.1,FALSE,FALSE,FALSE
"16",12,"digit_span",40,110,0,150,0.266666666666667,TRUE,FALSE,FALSE
"17",12,"rest_task",110,194,0,304,0.361842105263158,TRUE,FALSE,FALSE
"18",12,"spatial_recall",150,0,0,150,1,TRUE,FALSE,FALSE
"19",14,"digit_span",1,149,0,150,0.00666666666666667,FALSE,FALSE,FALSE
"20",14,"rest_task",31,299,0,330,0.0939393939393939,FALSE,FALSE,FALSE
"21",14,"spatial_recall",5,145,0,150,0.0333333333333333,FALSE,FALSE,FALSE
"22",17,"digit_span",150,0,0,150,1,TRUE,FALSE,FALSE
"23",17,"rest_task",146,130,0,276,0.528985507246377,TRUE,FALSE,FALSE
"24",17,"spatial_recall",149,1,0,150,0.993333333333333,TRUE,FALSE,FALSE
"25",22,"digit_span",20,130,0,150,0.133333333333333,FALSE,FALSE,FALSE
"26",22,"rest_task",7,584,0,591,0.011844331641286,FALSE,FALSE,FALSE
"27",22,"spatial_recall",100,50,0,150,0.666666666666667,FALSE,FALSE,FALSE
"28",24,"digit_span",0,150,0,150,0,FALSE,FALSE,FALSE
"29",24,"rest_task",40,0,0,40,1,FALSE,FALSE,FALSE
"30",24,"spatial_recall",4,146,0,150,0.0266666666666667,FALSE,FALSE,FALSE
"31",25,"digit_span",2,148,0,150,0.0133333333333333,FALSE,FALSE,FALSE
"32",25,"rest_task",40,59,0,99,0.404040404040404,FALSE,FALSE,FALSE
"33",25,"spatial_recall",7,143,0,150,0.0466666666666667,FALSE,FALSE,FALSE
"34",26,"digit_span",9,141,0,150,0.06,FALSE,FALSE,FALSE
"35",26,"rest_task",58,11,0,69,0.840579710144927,FALSE,FALSE,FALSE
"36",26,"spatial_recall",14,136,0,150,0.0933333333333333,FALSE,FALSE,FALSE
"37",27,"digit_span",4,146,0,150,0.0266666666666667,FALSE,FALSE,FALSE
"38",27,"rest_task",76,13,0,89,0.853932584269663,FALSE,FALSE,FALSE
"39",27,"spatial_recall",5,145,0,150,0.0333333333333333,FALSE,FALSE,FALSE
"40",28,"digit_span",8,142,0,150,0.0533333333333333,FALSE,FALSE,FALSE
"41",28,"rest_task",58,5,0,63,0.920634920634921,FALSE,FALSE,FALSE
"42",28,"spatial_recall",2,148,0,150,0.0133333333333333,FALSE,FALSE,FALSE
"43",29,"digit_span",1,149,0,150,0.00666666666666667,FALSE,FALSE,FALSE
"44",29,"rest_task",32,391,0,423,0.0756501182033097,FALSE,FALSE,FALSE
"45",29,"spatial_recall",4,146,0,150,0.0266666666666667,FALSE,FALSE,FALSE
"46",30,"digit_span",35,115,0,150,0.233333333333333,FALSE,FALSE,FALSE
"47",30,"rest_task",62,490,0,552,0.11231884057971,FALSE,FALSE,FALSE
