"","trial_type","trial_index","time_elapsed","rt","gameA_name","gameA_isSR","response","sequence","game_type","timed_out","practice","end_rest","correct_response","rest_trial_num","follows_group_num","follows_internal_block_num","type_desc","subj_id","is_correct_numeric","overall_type_count","block_num","group_num","rest_chunk","num_rest_in_chunk"
"1","ds_main_response",78,"226551",2384.5,"",FALSE,"[0,3,1,1]","[0,3,1,1]","digit_span",FALSE,"false","",NA,NA,"",NA,"",4,1,1,1,"1",NA,0
"2","ds_main_response",87,"230092",1603.90000009537,"",FALSE,"[0,0,0,9]","[0,0,0,9]","digit_span",FALSE,"false","",NA,NA,"",NA,"",4,1,2,1,"1",NA,0
"3","ds_main_response",96,"234779",2724.2000002861,"",FALSE,"[4,7,2,0]","[4,7,2,0]","digit_span",FALSE,"false","",NA,NA,"",NA,"",4,1,3,1,"1",NA,0
"4","ds_main_response",105,"238948",2224.09999990463,"",FALSE,"[8,4,3,6]","[8,4,3,6]","digit_span",FALSE,"false","",NA,NA,"",NA,"",4,1,4,1,"1",NA,0
"5","ds_main_response",114,"242913",2003.59999990463,"",FALSE,"[9,0,0,9]","[9,0,0,9]","digit_span",FALSE,"false","",NA,NA,"",NA,"",4,1,5,1,"1",NA,0
"6","ds_main_response",123,"247182",2318.7000002861,"",FALSE,"[4,2,7,1]","[4,2,7,1]","digit_span",FALSE,"false","",NA,NA,"",NA,"",4,1,6,1,"1",NA,0
"7","ds_main_response",132,"251054",1906.80000019073,"",FALSE,"[5,9,2,8]","[5,9,2,8]","digit_span",FALSE,"false","",NA,NA,"",NA,"",4,1,7,1,"1",NA,0
"8","ds_main_response",141,"255008",2012.59999990463,"",FALSE,"[8,6,6,6]","[8,6,6,6]","digit_span",FALSE,"false","",NA,NA,"",NA,"",4,1,8,1,"1",NA,0
"9","ds_main_response",150,"259473",2512.5,"",FALSE,"[3,5,3,0]","[3,5,3,0]","digit_span",FALSE,"false","",NA,NA,"",NA,"",4,1,9,1,"1",NA,0
"10","ds_main_response",159,"263214",1775.59999990463,"",FALSE,"[5,7,1,4]","[5,7,1,4]","digit_span",FALSE,"false","",NA,NA,"",NA,"",4,1,10,1,"1",NA,0
"11","rt_main_trials",161,"267750",5000,"",FALSE,"null","","rest_task",TRUE,"","false","1","0","null","1","block_same_same",4,0,1,NA,"1",1,3
"12","rt_main_trials",162,"269266",657,"",FALSE,"1","","rest_task",FALSE,"","false","1","1","null","1","block_same_same",4,1,2,NA,"1",1,3
"13","rt_main_trials",163,"270219",5000,"",FALSE,"null","","rest_task",TRUE,"","true","1","2","null","1","block_same_same",4,0,3,NA,"1",1,3
"14","ds_main_response",173,"275612",2424.2000002861,"",FALSE,"[7,8,0,1]","[7,8,0,1]","digit_span",FALSE,"false","",NA,NA,"",NA,"",4,1,11,2,"1",NA,0
"15","ds_main_response",182,"279292",1726.80000019073,"",FALSE,"[0,8,5,5]","[0,8,5,5]","digit_span",FALSE,"false","",NA,NA,"",NA,"",4,1,12,2,"1",NA,0
"16","ds_main_response",191,"283507",2217.69999980927,"",FALSE,"[1,9,7,0]","[1,9,7,0]","digit_span",FALSE,"false","",NA,NA,"",NA,"",4,1,13,2,"1",NA,0
"17","ds_main_response",200,"287130",1658.19999980927,"",FALSE,"[8,0,8,0]","[8,0,8,0]","digit_span",FALSE,"false","",NA,NA,"",NA,"",4,1,14,2,"1",NA,0
"18","ds_main_response",209,"290960",1850.30000019073,"",FALSE,"[4,7,9,1]","[4,7,9,1]","digit_span",FALSE,"false","",NA,NA,"",NA,"",4,1,15,2,"1",NA,0
"19","ds_main_response",218,"294586",1661,"",FALSE,"[4,7,0,7]","[4,7,0,7]","digit_span",FALSE,"false","",NA,NA,"",NA,"",4,1,16,2,"1",NA,0
"20","ds_main_response",227,"298076",1502.5,"",FALSE,"[4,4,7,5]","[4,4,7,5]","digit_span",FALSE,"false","",NA,NA,"",NA,"",4,1,17,2,"1",NA,0
