"","subj_id","trial_type","avg_accuracy"
"1",4,"ds_practice_response",1
"2",4,"rt_practice_trials",0.5
"3",4,"sr_practice_response",1
"4",5,"ds_practice_response",0.5
"5",5,"rt_practice_trials",0
"6",5,"sr_practice_response",0.75
"7",6,"ds_practice_response",0.75
"8",6,"rt_practice_trials",0.25
"9",6,"sr_practice_response",0
"10",8,"ds_practice_response",1
"11",8,"rt_practice_trials",0.25
"12",8,"sr_practice_response",0.75
"13",10,"ds_practice_response",1
"14",10,"rt_practice_trials",0
"15",10,"sr_practice_response",0.75
"16",12,"ds_practice_response",0
"17",12,"rt_practice_trials",0.5
"18",12,"sr_practice_response",0
"19",14,"ds_practice_response",0.75
"20",14,"rt_practice_trials",1
"21",14,"sr_practice_response",0.75
"22",17,"ds_practice_response",0
"23",17,"rt_practice_trials",0.5
"24",17,"sr_practice_response",0
"25",22,"ds_practice_response",1
"26",22,"rt_practice_trials",0.75
"27",22,"sr_practice_response",0.75
"28",24,"ds_practice_response",0.75
"29",24,"rt_practice_trials",0.5
"30",24,"sr_practice_response",1
"31",25,"ds_practice_response",0.75
"32",25,"rt_practice_trials",0.75
"33",25,"sr_practice_response",0.75
"34",26,"ds_practice_response",0.25
"35",26,"rt_practice_trials",0
"36",26,"sr_practice_response",1
"37",27,"ds_practice_response",1
"38",27,"rt_practice_trials",1
"39",27,"sr_practice_response",1
"40",28,"ds_practice_response",0.25
"41",28,"rt_practice_trials",0.25
"42",28,"sr_practice_response",0
"43",29,"ds_practice_response",0.25
"44",29,"rt_practice_trials",0
"45",29,"sr_practice_response",0.5
"46",30,"ds_practice_response",0.5
"47",30,"rt_practice_trials",0.75
"48",30,"sr_practice_response",1
"49",31,"ds_practice_response",0
"50",31,"rt_practice_trials",0
"51",31,"sr_practice_response",0
"52",32,"ds_practice_response",1
"53",32,"rt_practice_trials",0.25
"54",32,"sr_practice_response",0
"55",33,"ds_practice_response",0.75
"56",33,"rt_practice_trials",0.75
"57",33,"sr_practice_response",1
"58",34,"ds_practice_response",0.75
"59",34,"rt_practice_trials",0.5
"60",34,"sr_practice_response",1
"61",36,"ds_practice_response",0.75
"62",36,"rt_practice_trials",0.75
"63",36,"sr_practice_response",0.5
"64",38,"ds_practice_response",0
"65",38,"rt_practice_trials",0.75
"66",38,"sr_practice_response",0
"67",39,"ds_practice_response",1
"68",39,"rt_practice_trials",0.75
"69",39,"sr_practice_response",1
"70",40,"ds_practice_response",1
"71",40,"rt_practice_trials",1
"72",40,"sr_practice_response",1
"73",41,"ds_practice_response",0.25
"74",41,"rt_practice_trials",0.25
"75",41,"sr_practice_response",0
"76",42,"ds_practice_response",0.5
"77",42,"rt_practice_trials",0.5
"78",42,"sr_practice_response",0.5
"79",43,"ds_practice_response",0.75
"80",43,"rt_practice_trials",0.75
"81",43,"sr_practice_response",1
"82",44,"ds_practice_response",1
"83",44,"rt_practice_trials",1
"84",44,"sr_practice_response",1
"85",45,"ds_practice_response",0.75
"86",45,"rt_practice_trials",0.75
"87",45,"sr_practice_response",1
"88",49,"ds_practice_response",0.75
"89",49,"rt_practice_trials",0.25
"90",49,"sr_practice_response",0.5
"91",50,"ds_practice_response",0.75
"92",50,"rt_practice_trials",0.5
"93",50,"sr_practice_response",0
"94",51,"ds_practice_response",0.5
"95",51,"rt_practice_trials",0.75
"96",51,"sr_practice_response",0
"97",52,"ds_practice_response",0.75
"98",52,"rt_practice_trials",1
"99",52,"sr_practice_response",0.75
"100",54,"ds_practice_response",0.5
"101",54,"rt_practice_trials",1
"102",54,"sr_practice_response",0
"103",55,"ds_practice_response",0.25
"104",55,"rt_practice_trials",0
"105",55,"sr_practice_response",0
"106",57,"ds_practice_response",0
"107",57,"rt_practice_trials",0.5
"108",57,"sr_practice_response",0
"109",60,"ds_practice_response",0.25
"110",60,"rt_practice_trials",0.5
"111",60,"sr_practice_response",0.5
"112",61,"ds_practice_response",0.5
"113",61,"rt_practice_trials",0.5
"114",61,"sr_practice_response",0.75
"115",62,"ds_practice_response",0.5
"116",62,"rt_practice_trials",0.5
"117",62,"sr_practice_response",0.5
"118",63,"ds_practice_response",1
"119",63,"rt_practice_trials",0.5
"120",63,"sr_practice_response",0.25
"121",65,"ds_practice_response",0.75
"122",65,"rt_practice_trials",0.75
"123",65,"sr_practice_response",0.75
"124",66,"ds_practice_response",0
"125",66,"rt_practice_trials",0.75
"126",66,"sr_practice_response",0
"127",67,"ds_practice_response",1
"128",67,"rt_practice_trials",1
"129",67,"sr_practice_response",1
"130",68,"ds_practice_response",0
"131",68,"rt_practice_trials",0
"132",68,"sr_practice_response",0.25
"133",69,"ds_practice_response",0.75
"134",69,"rt_practice_trials",0.75
"135",69,"sr_practice_response",0
"136",70,"ds_practice_response",0.75
"137",70,"rt_practice_trials",0.75
"138",70,"sr_practice_response",1
"139",71,"ds_practice_response",1
"140",71,"rt_practice_trials",0.25
"141",71,"sr_practice_response",1
"142",72,"ds_practice_response",0.5
"143",72,"rt_practice_trials",0.75
"144",72,"sr_practice_response",0
"145",501,"ds_practice_response",1
"146",501,"rt_practice_trials",0.75
"147",501,"sr_practice_response",1
"148",502,"ds_practice_response",1
"149",502,"rt_practice_trials",0.25
"150",502,"sr_practice_response",1
"151",503,"ds_practice_response",0.25
"152",503,"rt_practice_trials",0.25
"153",503,"sr_practice_response",0.25
"154",505,"ds_practice_response",0.75
"155",505,"rt_practice_trials",0.75
"156",505,"sr_practice_response",1
"157",508,"ds_practice_response",0.75
"158",508,"rt_practice_trials",0.75
"159",508,"sr_practice_response",1
"160",509,"ds_practice_response",1
"161",509,"rt_practice_trials",0.75
"162",509,"sr_practice_response",1
"163",510,"ds_practice_response",0
"164",510,"rt_practice_trials",0.75
"165",510,"sr_practice_response",0
"166",511,"ds_practice_response",0.75
"167",511,"rt_practice_trials",0.75
"168",511,"sr_practice_response",0.5
"169",513,"ds_practice_response",0
"170",513,"rt_practice_trials",0.25
"171",513,"sr_practice_response",0
"172",514,"ds_practice_response",0.75
"173",514,"rt_practice_trials",0.5
"174",514,"sr_practice_response",0.75
"175",515,"ds_practice_response",1
"176",515,"rt_practice_trials",0.25
"177",515,"sr_practice_response",1
"178",516,"ds_practice_response",0
"179",516,"rt_practice_trials",0.75
"180",516,"sr_practice_response",0.75
"181",517,"ds_practice_response",0.75
"182",517,"rt_practice_trials",0
"183",517,"sr_practice_response",0.25
"184",518,"ds_practice_response",0
"185",518,"rt_practice_trials",NA
"186",518,"sr_practice_response",0.5
"187",519,"ds_practice_response",1
"188",519,"rt_practice_trials",1
"189",519,"sr_practice_response",1
"190",525,"ds_practice_response",0.75
"191",525,"rt_practice_trials",0.75
"192",525,"sr_practice_response",0.5
"193",526,"ds_practice_response",1
"194",526,"rt_practice_trials",0.75
"195",526,"sr_practice_response",0.75
"196",528,"ds_practice_response",0.5
"197",528,"rt_practice_trials",0
"198",528,"sr_practice_response",0.5
"199",529,"ds_practice_response",1
"200",529,"rt_practice_trials",0.75
"201",529,"sr_practice_response",1
"202",532,"ds_practice_response",0
"203",532,"rt_practice_trials",0.25
"204",532,"sr_practice_response",0
"205",534,"ds_practice_response",0.5
"206",534,"rt_practice_trials",0
"207",534,"sr_practice_response",0.25
"208",536,"ds_practice_response",1
"209",536,"rt_practice_trials",0.75
"210",536,"sr_practice_response",1
"211",538,"ds_practice_response",1
"212",538,"rt_practice_trials",0.75
"213",538,"sr_practice_response",0.75
"214",539,"ds_practice_response",0.75
"215",539,"rt_practice_trials",0.75
"216",539,"sr_practice_response",0
"217",540,"ds_practice_response",0.5
"218",540,"rt_practice_trials",0.25
"219",540,"sr_practice_response",0
"220",543,"ds_practice_response",1
"221",543,"rt_practice_trials",0.5
"222",543,"sr_practice_response",0.75
"223",545,"ds_practice_response",0.75
"224",545,"rt_practice_trials",0.5
"225",545,"sr_practice_response",0
"226",550,"ds_practice_response",0.5
"227",550,"rt_practice_trials",0.75
"228",550,"sr_practice_response",1
